"","ss.treatment","ss.replicate","ss.genotype","ss.replicate_n_treatment","ss.treatment_i_genotype","residualss"
"1",189.895017857139,242.820749999999,138.864500000003,2699.433375,26.8960000000006,61823.35425
"2",1100.96257142857,339.360333333332,605,674.690666666665,567.009,13373.2253333333
"3",545.692571428572,73.9470000000001,7824.96800000001,11.7926666666681,2241.009,30257.7066666667
"4",24381.7214464286,4.8400833333144,11452.898,4315.47204166668,219.96100000001,289680.919583333
"5",3885.04464285714,2524.50133333334,5947.80050000001,32.1201666666675,1113.025,26126.1056666667
"6",180.578571428545,268.20299999998,90128.7379999999,3716.21399999992,148657.05625,1764127.099
"7",563.806446428571,122.210083333333,1958.2205,0.82837500000096,560.25225,13324.9495833333
"8",14.75501785714,14.6999999999971,1713.10049999999,6.11204166666721,957.462249999997,41402.0969166667
"9",150.178571428571,0.030083333333323,0.220500000000015,73.0406666666667,44.1,398.753166666667
"10",138.305160714285,54.9453333333331,59.1680000000006,68.160041666667,138.384,7270.20458333333
"11",76527.4160000011,727461.551999994,1218994.688,2587194.41066666,365536.160999998,17747397.7706667
"12",864.531500000001,76.480333333333,7288.56200000001,27.8801666666659,644.809000000001,19070.9076666667
"13",32348.6400714285,3340.13008333335,118826.528,68053.8081666667,69397.23025,880151.716166667
"14",11233.1528749987,707896.324083336,42.3405000008643,937487.500041667,494795.535999998,18129499.2245833
"15",884.023142857142,615.174083333332,89.4645000000019,3600.65066666667,1.93600000000151,38491.0671666667
"16",1416.69016071432,169433.190083333,64445.3045,119042.058375,40475.044,656769.894583334
"17",302.085160714285,1.26074999999946,276.024500000001,61.1050416666676,105.30025,15772.3389166667
"18",3239.054,9112.40408333333,15523.5919999999,3007.58400000003,3314.22025000001,306593.980833333
"19",36.8231428571416,256.668750000001,1541.768,0.560666666666293,963.34225,13792.0741666667
"20",175.504017857136,6584.52674999999,8487.2,966.009374999994,2958.39999999999,119489.88625
"21",1626.57028571429,27709.6020833334,16199.432,12447.3606666667,13627.17225,487459.514166667
"22",11.9486428571436,226.600083333335,14156.5205,1.04016666666757,215.760250000001,10487.6841666667
"23",3.0458749999998,397.852083333334,78.0125000000003,120.558375,122.85025,2099.75158333333
"24",1142.57144642857,1894.48533333334,262.8125,1665.84704166667,114.582249999999,8908.48758333333
"25",27795.3430178572,7795.63199999998,31110.2719999999,11188.9070416666,1614.17024999997,276745.868916667
"26",21778.855875,19443.8020833333,338312.072,26277.6153749999,21040.569,864117.555583333
"27",674.743017857141,911.354083333335,5551.11200000002,2182.25704166666,1926.544,20477.9189166667
"28",44.4094464285713,58.2413333333334,39.7620000000002,150.575041666666,36.864,2745.35391666667
"29",154.66516071427,6419.64408333332,147.424499999994,422.145374999993,4.29024999999092,258274.790583333
"30",682308.978285726,626132.980083324,41223.200000003,666507.440666661,5810.51025000215,20107988.9861667
"31",2653.06644642859,3180.64033333334,18471.042,5735.97037499998,2376.22225000005,523411.132583333
"32",2516.44001785718,15070.7253333333,22344.6125,3166.08704166667,18761.89225,279166.500916667
"33",24.2777857142864,2018.02008333332,668.168000000005,116.204166666663,2253.001,51420.9498333334
"34",6114.91116071429,702.284083333328,3934.01249999999,429.07004166667,85.5562500000015,31857.2095833333
"35",16.9406428572256,651891.243,12490.0020000001,124296.9135,100070.01225,1593741.87
"36",433.66399999999,13125.2083333333,414000.3125,3408.08066666668,331.200249999994,319944.570333334
"37",591.018017857336,1683719.37075,30484743.2,807070.026041665,84833.3102499992,7067840.45491668
"38",17699.6301607143,108468.507,58817.858,64711.2200416666,14934.36025,585180.467916667
"39",2188.30178571428,38743.3203333334,48560.5125,12716.7041666667,5164.25625000001,239162.146666667
"40",1499.95044642857,527.521333333334,26528.328,132.759374999998,810,25595.1985833333
"41",2556.45044642861,10533.7540833334,38228.7680000001,18643.725375,0.400000000023283,388375.163583333
"42",13792.7725714291,390998.000333332,1389224.7605,266560.010666666,102677.689000001,3953762.94533333
"43",604.033142857144,534.252,555.457999999999,1112.84266666667,6.56099999999969,8483.96666666667
